operator,charging_facility_type,number_of_charging_points,power_connection_capacity,city,postal_code,commissioning_date,year,month,state
König & Partner GmbH,Normalladeeinrichtung,3,22.0,Suhl,98529,2020-10-01,2020,10,Thüringen
Autohaus Glinicke GmbH & Co. Vertriebs KG,Schnellladeeinrichtung,2,120.0,Weimar,99423,2022-06-03,2022,6,Thüringen
Autohaus Glinicke GmbH & Co. Vertriebs KG,Normalladeeinrichtung,2,22.0,Weimar,99423,2022-08-17,2022,8,Thüringen
Kaufland,Schnellladeeinrichtung,2,93.0,Weimar,99425,2018-01-28,2018,1,Thüringen
Vonovia Energie Service GmbH,Normalladeeinrichtung,2,22.0,Weimar,99425,2021-05-21,2021,5,Thüringen
Stadtwerke Weimar Stadtversorgungs-GmbH,Schnellladeeinrichtung,3,50.0,Weimar,99428,2022-02-14,2022,2,Thüringen
KTH Klimatherm Haustechnik GmbH,Normalladeeinrichtung,4,22.0,Weimar-Legefeld,99428,2020-07-30,2020,7,Thüringen
Cloppenburg GmbH,Normalladeeinrichtung,2,44.0,Windischleuba,4603,2020-04-13,2020,4,Thüringen
Comfort Charge,Schnellladeeinrichtung,4,150.0,Meuselwitz,4610,2020-07-16,2020,7,Thüringen
Natur Energie Andre Fritzsche,Normalladeeinrichtung,1,11.0,Göpfersdorf,4618,2022-08-01,2022,8,Thüringen
Natur Energie Andre Fritzsche,Normalladeeinrichtung,1,11.0,Göpfersdorf,4618,2023-01-31,2023,1,Thüringen
envia Mitteldeutsche Energie AG,Normalladeeinrichtung,2,44.0,Schmölln,4626,2019-11-28,2019,11,Thüringen
DC Station Krankenhaus Hig,Normalladeeinrichtung,1,22.0,Heilbad Heiligenstadt,37308,2022-12-21,2022,12,Thüringen
Eichsfelder Autohaus GmbH,Normalladeeinrichtung,2,39.6,Heilbad Heiligenstadt,37308,2021-02-24,2021,2,Thüringen
EW Eichsfeldgas GmbH,Normalladeeinrichtung,2,44.0,Uder,37318,2020-12-11,2020,12,Thüringen
MÄC-Fussel,Normalladeeinrichtung,2,11.0,Breitenworbis,37339,2022-09-01,2022,9,Thüringen
Autohaus Albertsmeyer GmbH & Co.KG,Normalladeeinrichtung,2,39.6,Leinefelde-Worbis,37339,2021-01-19,2021,1,Thüringen
Elektro-Ballin,Normalladeeinrichtung,2,22.0,Gotha,99867,2021-12-22,2021,12,Thüringen
Langenhan GmbH,Normalladeeinrichtung,2,44.0,Langenhan,99867,2019-02-26,2019,2,Thüringen
EA EnergieArchitektur Dresden GmbH,Normalladeeinrichtung,2,44.0,Gotha,99867,2022-09-01,2022,9,Thüringen
Stadtwerke Gotha GmbH,Schnellladeeinrichtung,2,80.0,Gotha,99867,2018-01-18,2018,1,Thüringen
Stadtwerke Gotha GmbH,Normalladeeinrichtung,2,44.0,Gotha,99867,2021-11-12,2021,11,Thüringen
Stadtwerke Gotha GmbH,Normalladeeinrichtung,2,44.0,Gotha-Sundhausen,99867,2020-11-12,2020,11,Thüringen
Stadtwerke Gotha GmbH,Normalladeeinrichtung,2,44.0,Gotha,99867,2020-11-24,2020,11,Thüringen
Stadtwerke Gotha GmbH,Normalladeeinrichtung,2,44.0,Gotha,99867,2021-06-28,2021,6,Thüringen
AHG GmbH,Normalladeeinrichtung,2,39.6,Gotha,99867,2021-01-19,2021,1,Thüringen
harvestlease GmbH,Normalladeeinrichtung,1,66.0,Gotha,99867,2021-06-15,2021,6,Thüringen
IONITY GmbH,Schnellladeeinrichtung,1,350.0,Schwabhausen,99869,2018-12-12,2018,12,Thüringen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,93.0,Waltershausen,99880,2020-02-14,2020,2,Thüringen
Energieversorgung Inselsberg GmbH,Normalladeeinrichtung,4,33.0,Waltershausen,99880,2018-10-10,2018,10,Thüringen
TEAG Mobil GmbH,Schnellladeeinrichtung,2,86.0,Ohrdruf,99885,2018-05-14,2018,5,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,30.0,Tambach-Dietharz,99897,2018-05-09,2018,5,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,22.0,Wünschendorf,7570,2020-07-06,2020,7,Thüringen
Armeeverkauf Liebold GmbH,Normalladeeinrichtung,1,22.0,Zeulenroda-Triebes,7937,2022-12-01,2022,12,Thüringen
Energiewerke Zeulroda GmbH,Normalladeeinrichtung,2,22.0,Zeulenroda-Triebes,7937,2021-01-01,2021,1,Thüringen
Autohaus Schlutter GmbH   Hyundai Vertragshändler,Normalladeeinrichtung,2,22.0,Zeulenroda-Triebes,7950,2020-04-22,2020,4,Thüringen
Energieversorgung Greiz GmbH,Normalladeeinrichtung,2,44.0,Greiz,7973,2020-12-11,2020,12,Thüringen
Comfort Charge,Schnellladeeinrichtung,4,150.0,Greiz,7973,2020-02-05,2020,2,Thüringen
VAG Vogtland Automobile Greiz GmbH & Co. KG,Normalladeeinrichtung,1,13.2,Greiz,7973,2021-04-29,2021,4,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,22.0,Berga,7980,2020-07-06,2020,7,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,30.0,Schleusingen,98443,2021-07-01,2021,7,
Werrapark Hotels Masserberg 'Haus Frankenblick',Normalladeeinrichtung,2,22.0,Masserberg / Schnett,98666,2022-05-20,2022,5,Thüringen
Energie-technik-center Loy,Normalladeeinrichtung,2,11.0,"Eisfeld, Thüringen",98673,2022-11-01,2022,11,Thüringen
Privatperson,Normalladeeinrichtung,1,11.0,Ilmenau OT WÜMBACH,98693,2021-10-07,2021,10,Thüringen
Kaufland,Schnellladeeinrichtung,2,93.0,Ilmenau,98693,2018-01-25,2018,1,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,30.0,Großbreitenbach,98701,2019-04-17,2019,4,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,30.0,Gehren,98708,2019-05-09,2019,5,Thüringen
IONITY GmbH,Schnellladeeinrichtung,1,350.0,Geraberg,98716,2019-05-31,2019,5,Thüringen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,150.0,Arnstadt,99310,2021-07-01,2021,7,Thüringen
Kaufland,Schnellladeeinrichtung,3,77.0,Arnstadt,99310,2022-10-13,2022,10,Thüringen
Ehrhardt AG NL Arnstadt,Normalladeeinrichtung,2,39.6,Arnstadt,99310,2021-03-18,2021,3,Thüringen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,93.0,Artern,6556,2020-07-15,2020,7,Thüringen
Autohaus Lucks GmbH & Co.KG,Normalladeeinrichtung,2,39.6,Artern/Unstrut,6556,2021-03-25,2021,3,Thüringen
envia Mitteldeutsche Energie AG,Normalladeeinrichtung,2,44.0,Bad Frankenhausen/ Kyffhäuser,6567,2019-11-27,2019,11,Thüringen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,150.0,Roßleben-Wiehe,6571,2022-12-20,2022,12,Thüringen
Stadtwerke Sondershausen GmbH,Normalladeeinrichtung,2,30.0,Sondershausen,99706,2018-11-09,2018,11,Thüringen
Stadtwerke Sondershausen GmbH,Normalladeeinrichtung,2,30.0,Sondershausen,99706,2020-01-31,2020,1,Thüringen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,150.0,Nordhausen,99734,2021-03-04,2021,3,Thüringen
Autowelt Peter GmbH,Normalladeeinrichtung,2,39.6,Nordhausen,99734,2021-06-11,2021,6,Thüringen
Albertsmeyer Besitz GmbH,Schnellladeeinrichtung,2,116.74,Nordhausen,99734,2022-07-12,2022,7,Thüringen
Liebram,Schnellladeeinrichtung,2,90.0,Bleicherode OT Nohra,99752,2022-09-01,2022,9,Thüringen
Liebram,Normalladeeinrichtung,2,11.0,Bleicherode OT Nohra,99752,2021-12-01,2021,12,Thüringen
Autohaus Georg Maulhardt e.k.,Normalladeeinrichtung,2,39.6,Bleicherode,99752,2021-01-19,2021,1,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,30.0,Sollstedt,99759,2019-05-22,2019,5,Thüringen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,150.0,Heringen/Helme,99765,2022-09-15,2022,9,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,30.0,Heringen,99765,2019-05-02,2019,5,Thüringen
Stadtwerke Eisenberg Energie GmbH,Schnellladeeinrichtung,1,110.0,Petersberg,7616,2020-09-25,2020,9,Thüringen
Auto Exner GmbH&Co KG,Normalladeeinrichtung,2,44.0,Hermsdorf,7629,2022-01-01,2022,1,Thüringen
TEAG Mobil GmbH,Schnellladeeinrichtung,3,340.0,Hermsdorf,7629,2021-04-08,2021,4,Thüringen
Vogel Energie GbR,Normalladeeinrichtung,2,22.0,Mörsdorf,7646,2022-01-01,2022,1,Thüringen
Stadtwerke Stadtroda GmbH,Normalladeeinrichtung,2,33.0,Schlöben,7646,2019-12-27,2019,12,Thüringen
Stadtwerke Stadtroda GmbH,Normalladeeinrichtung,2,44.0,Stadtroda,7646,2020-08-07,2020,8,Thüringen
Auto-Schwettling-GmbH,Normalladeeinrichtung,2,39.6,Kahla,7768,2021-06-16,2021,6,Thüringen
Autohaus Fischer GmbH Triptis,Normalladeeinrichtung,2,39.65,Bad Lobenstein,7356,2023-02-28,2023,2,Thüringen
TEAG Thüringer Energie AG,Normalladeeinrichtung,1,11.0,Bad Lobenstein,7356,2021-04-07,2021,4,Thüringen
Stadtwerke Neustadt an der Orla,Normalladeeinrichtung,2,22.0,Neustadt an der Orla,7806,2020-10-28,2020,10,Thüringen
Stadtwerke Neustadt an der Orla,Normalladeeinrichtung,2,33.0,Neustadt an der Orla,7806,2021-05-03,2021,5,Thüringen
Comfort Charge,Schnellladeeinrichtung,4,150.0,Triptis,7819,2020-08-11,2020,8,Thüringen
Allego GmbH,Schnellladeeinrichtung,2,93.0,Schleiz,7907,2018-08-22,2018,8,Thüringen
Allego GmbH,Schnellladeeinrichtung,2,300.0,Schleiz,7907,2021-05-21,2021,5,Thüringen
Allego GmbH,Schnellladeeinrichtung,2,300.0,Schleiz,7907,2021-05-27,2021,5,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,30.0,Schleiz,7907,2020-10-15,2020,10,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,30.0,Schleiz,7907,2021-10-16,2021,10,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,44.0,Schleiz,7907,2022-08-31,2022,8,Thüringen
Stadtwerke Saalfeld GmbH,Normalladeeinrichtung,2,22.0,Saalfeld,7318,2019-03-12,2019,3,Thüringen
Stadtwerke Saalfeld GmbH,Normalladeeinrichtung,2,22.0,Saalfeld,7318,2020-09-02,2020,9,Thüringen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,150.0,Unterwellenborn,7333,2022-06-15,2022,6,Thüringen
Energieversorgung Rudolstadt GmbH,Schnellladeeinrichtung,3,170.0,Rudolstadt,7407,2022-12-15,2022,12,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,22.0,Bad Blankenburg,7422,2022-10-12,2022,10,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,22.0,Bad Blankenburg,7422,2022-11-23,2022,11,Thüringen
Stadtwerke Suhl/Zella-Mehlis GmbH,Normalladeeinrichtung,2,44.0,Zella-Mehlis,98544,2019-12-01,2019,12,Thüringen
TEAG Mobil GmbH,Schnellladeeinrichtung,3,340.0,Zella-Mehlis,98544,2021-03-11,2021,3,Thüringen
Reinhold Mendritzki Gewerbepark GmbH & Co.KG,Normalladeeinrichtung,1,11.0,Schmalkalden,98574,2020-10-19,2020,10,Thüringen
Werraenergie GmbH,Schnellladeeinrichtung,2,75.0,Floh-Seligenthal,98593,2022-05-30,2022,5,Thüringen
Stadtwerke Meiningen GmbH,Normalladeeinrichtung,2,44.0,Meiningen,98617,2019-05-29,2019,5,Thüringen
Stadtwerke Meiningen GmbH,Normalladeeinrichtung,2,44.0,Meiningen,98617,2020-10-26,2020,10,Thüringen
Stadtwerke Meiningen GmbH,Normalladeeinrichtung,4,44.0,Meiningen,98617,2021-12-22,2021,12,Thüringen
Autohaus Matthes GmbH,Normalladeeinrichtung,2,44.0,Meiningen-Dreißigacker,98617,2019-11-11,2019,11,Thüringen
König und Partner GmbH,Normalladeeinrichtung,2,22.0,Meiningen,98617,2020-04-01,2020,4,Thüringen
Privatperson,Normalladeeinrichtung,2,11.0,Meiningen,98617,2020-12-01,2020,12,Thüringen
TEAG Mobil GmbH,Schnellladeeinrichtung,3,86.0,Gebesee,99189,2020-08-05,2020,8,Thüringen
Sternwarte,Normalladeeinrichtung,1,11.0,Sömmerda,99610,2022-09-01,2022,9,Thüringen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,3,300.0,Sömmerda,99610,2021-03-31,2021,3,Thüringen
MDC Power GmbH,Normalladeeinrichtung,2,44.0,Kölleda,99625,2023-01-31,2023,1,Thüringen
MDC Power GmbH,Normalladeeinrichtung,2,44.0,Kölleda,99625,2023-01-31,2023,1,Thüringen
MDC Power GmbH,Normalladeeinrichtung,2,44.0,Kölleda,99625,2023-01-31,2023,1,Thüringen
MDC Power GmbH,Normalladeeinrichtung,2,44.0,Kölleda,99625,2023-01-31,2023,1,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,30.0,Kölleda,99625,2018-04-25,2018,4,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,22.0,Buttstädt,99628,2022-07-01,2022,7,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,30.0,Weißensee,99631,2018-11-21,2018,11,Thüringen
Auto-Center Sonneberg,Schnellladeeinrichtung,2,72.0,Sonneberg,96515,2022-12-16,2022,12,Thüringen
Auto-Center Sonneberg,Schnellladeeinrichtung,2,72.0,Sonneberg,96515,2022-12-16,2022,12,Thüringen
Skoda AH Eckstein Inh. Alfred Fölsche,Normalladeeinrichtung,2,39.6,Sonneberg,96515,2021-01-19,2021,1,Thüringen
Domäne Schaumburg,Normalladeeinrichtung,2,22.0,Schalkau,96528,2022-11-17,2022,11,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,30.0,Effelder-Rauenstein,96528,2018-11-22,2018,11,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,22.0,Frankenblick,96528,2022-07-01,2022,7,Thüringen
Lidl,Schnellladeeinrichtung,3,72.0,Neuhaus am Rennweg,98724,2021-04-28,2021,4,Thüringen
Autohaus Rennsteig GmbH Neuhaus,Normalladeeinrichtung,2,39.6,Neuhaus am Rennweg,98724,2021-02-21,2021,2,Thüringen
Glinicke Automobil Holding GmbH & Co. KG,Normalladeeinrichtung,2,22.0,Bad Langensalza,99947,2022-08-17,2022,8,Thüringen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,150.0,Mühlhausen,99974,2021-03-19,2021,3,Thüringen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,300.0,Mühlhausen,99974,2022-12-16,2022,12,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,22.0,Mühlhausen,99974,2022-07-01,2022,7,Thüringen
Autohaus Albertsmeyer GmbH & Co.KG,Normalladeeinrichtung,2,39.65,Mühlhausen/Thüringen,99974,2022-12-06,2022,12,Thüringen
Autohaus Schulz und Straube GmbH,Normalladeeinrichtung,2,22.0,Bad Salzungen,36433,2020-04-01,2020,4,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,30.0,Bad Liebenstein,36448,2018-09-21,2018,9,Thüringen
Eisenacher Versorgungs-Betriebe GmbH,Normalladeeinrichtung,4,88.0,Eisenach,99817,2021-05-21,2021,5,Thüringen
Eisenacher Versorgungs-Betriebe GmbH,Normalladeeinrichtung,2,44.0,Eisenach,99817,2021-08-24,2021,8,Thüringen
arcona Hotel Thüringer Hof GmbH,Normalladeeinrichtung,3,22.0,Eisenach,99817,2018-04-30,2018,4,Thüringen
Langenhan Eisenach GmbH,Normalladeeinrichtung,2,44.0,Eisenach,99817,2019-02-28,2019,2,Thüringen
Autohaus Göthling GmbH,Normalladeeinrichtung,2,39.6,Eisenach,99817,2021-04-27,2021,4,Thüringen
E.ON Drive GmbH,Normalladeeinrichtung,1,3.7,Eisenach,99819,2021-09-24,2021,9,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,30.0,Bad Berka,99438,2018-04-20,2018,4,Thüringen
IGW Ingenieurgesellschaft für Wasserkraftanlagen mbH,Normalladeeinrichtung,2,33.0,Wohlsborn,99439,2018-03-22,2018,3,Thüringen
TEAG Mobil GmbH,Schnellladeeinrichtung,2,350.0,Magdala,99441,2022-02-02,2022,2,Thüringen
Aral Pulse,Schnellladeeinrichtung,2,300.0,Mellingen,99441,2021-08-31,2021,8,Thüringen
Aral Pulse,Schnellladeeinrichtung,2,300.0,Mellingen,99441,2022-11-04,2022,11,Thüringen
TEAG Mobil GmbH,Normalladeeinrichtung,2,30.0,Kapellendorf,99510,2018-09-27,2018,9,Thüringen
Energieversorgung Apolda GmbH,Normalladeeinrichtung,2,22.0,Apolda,99510,2018-06-18,2018,6,Thüringen
Energieversorgung Apolda GmbH,Normalladeeinrichtung,2,22.0,Apolda,99510,2018-06-18,2018,6,Thüringen
Stadtwerke Weimar Stadtversorgungs-GmbH,Normalladeeinrichtung,2,44.0,Bad Sulza,99518,2018-08-13,2018,8,Thüringen
E.ON Drive GmbH,Normalladeeinrichtung,1,3.7,Leipzig,4349,2020-10-20,2020,10,Sachsen
E.ON Drive GmbH,Normalladeeinrichtung,1,3.7,Leipzig,4349,2020-10-20,2020,10,Sachsen
E.ON Drive GmbH,Normalladeeinrichtung,1,3.7,Leipzig,4349,2020-10-07,2020,10,Sachsen
amperio GmbH,Normalladeeinrichtung,2,44.0,Leipzig,4356,2020-11-05,2020,11,Sachsen
Stadtwerke Leipzig GmbH,Schnellladeeinrichtung,2,50.0,Leipzig,4357,2019-08-28,2019,8,Sachsen
Comfort Charge,Schnellladeeinrichtung,3,150.0,Leipzig,47137,2019-07-31,2019,7,Nordrhein-Westfalen
Unternehmensberatung Enghardt,Normalladeeinrichtung,1,22.0,Radeberg,1454,2023-01-02,2023,1,Sachsen
SachsenEnergie AG,Normalladeeinrichtung,2,33.0,Radeberg,1454,2019-06-14,2019,6,Sachsen
Aral Pulse,Schnellladeeinrichtung,2,300.0,Radeberg,1454,2022-05-10,2022,5,Sachsen
Danpower-Gruppe,Normalladeeinrichtung,2,44.0,Ottendorf-Okrilla,1458,2022-01-03,2022,1,Sachsen
Lidl,Normalladeeinrichtung,2,44.0,Arnsdorf,1477,2020-06-30,2020,6,Sachsen
Lidl,Normalladeeinrichtung,2,44.0,Bischofswerda,1877,2020-03-10,2020,3,Sachsen
Autohaus Franke GmbH & Co. KG Pulsnitz,Normalladeeinrichtung,1,11.0,Pulsnitz,1896,2021-12-01,2021,12,Sachsen
SachsenEnergie AG,Normalladeeinrichtung,2,44.0,Großröhrsdorf,1900,2020-11-04,2020,11,Sachsen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,93.0,Großröhrsdorf,1900,2020-07-13,2020,7,Sachsen
SachsenEnergie AG,Normalladeeinrichtung,2,22.0,Großharthau,1909,2019-05-13,2019,5,Sachsen
Accumotive GmbH & Co. KG,Normalladeeinrichtung,2,44.0,Kamenz,1917,2022-03-31,2022,3,Sachsen
Accumotive GmbH & Co. KG,Normalladeeinrichtung,2,44.0,Kamenz,1917,2022-03-31,2022,3,Sachsen
Accumotive GmbH & Co. KG,Normalladeeinrichtung,2,44.0,Kamenz,1917,2022-03-31,2022,3,Sachsen
Accumotive GmbH & Co. KG,Normalladeeinrichtung,2,44.0,Kamenz,1917,2022-03-31,2022,3,Sachsen
Accumotive GmbH & Co. KG,Normalladeeinrichtung,2,44.0,Kamenz,1917,2022-03-31,2022,3,Sachsen
HSI-Schmorkau,Normalladeeinrichtung,2,22.0,Neukirch,1936,2022-10-17,2022,10,Sachsen
SachsenEnergie AG,Normalladeeinrichtung,2,30.0,Bautzen,2625,2022-09-30,2022,9,Sachsen
Autohaus Bautzen Ost GmbH,Normalladeeinrichtung,2,39.6,Bautzen,2625,2021-03-26,2021,3,Sachsen
Autohaus Bernhard Matticzk GmbH,Normalladeeinrichtung,2,39.6,Bautzen,2625,2021-06-01,2021,6,Sachsen
SachsenEnergie AG,Normalladeeinrichtung,2,30.0,Weißenberg,2627,2020-02-28,2020,2,Sachsen
SachsenEnergie AG,Normalladeeinrichtung,2,33.0,Schirgiswalde-Kirschau,2681,2018-10-22,2018,10,Sachsen
SachsenEnergie AG,Normalladeeinrichtung,2,44.0,Sohland a. d. Spree,2689,2021-07-13,2021,7,Sachsen
SachsenEnergie AG,Schnellladeeinrichtung,2,75.0,Königswartha,2699,2020-11-04,2020,11,Sachsen
SachsenEnergie AG,Normalladeeinrichtung,2,22.0,Cunewalde,2733,2019-02-18,2019,2,Sachsen
Versorgungsbetriebe Hoyerswerda GmbH,Normalladeeinrichtung,2,44.0,Hoyerswerda,2977,2018-08-13,2018,8,Sachsen
Versorgungsbetriebe Hoyerswerda GmbH,Normalladeeinrichtung,2,44.0,Hoyerswerda,2977,2018-08-13,2018,8,Sachsen
Autohaus Elter GmbH,Normalladeeinrichtung,2,39.6,Lauta,2991,2022-03-02,2022,3,Sachsen
envia Mitteldeutsche Energie AG,Normalladeeinrichtung,2,44.0,Lohsa,2999,2019-12-03,2019,12,Sachsen
Gemeinde Lohsa,Normalladeeinrichtung,4,33.0,Lohsa / Ortsteil Friedersdorf,2999,2018-12-20,2018,12,Sachsen
IONITY GmbH,Schnellladeeinrichtung,1,350.0,Schmölln,4626,2019-05-31,2019,5,Thüringen
envia Mitteldeutsche Energie AG,Normalladeeinrichtung,2,44.0,Zwönitz,8279,2019-12-19,2019,12,
LADEFIX,Schnellladeeinrichtung,2,77.0,Aue,8280,2022-12-02,2022,12,Sachsen
EWE Go GmbH,Schnellladeeinrichtung,2,320.0,Aue,8280,2022-05-02,2022,5,Sachsen
Auto-Leonhardt GmbH,Normalladeeinrichtung,2,39.6,Aue-Bad Schlema,8280,2021-10-11,2021,10,Sachsen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,150.0,Schneeberg,8289,2022-08-17,2022,8,Sachsen
STW Schneeberg,Normalladeeinrichtung,2,44.0,Schneeberg,8289,2022-08-04,2022,8,Sachsen
STW Schneeberg,Normalladeeinrichtung,2,44.0,Schneeberg,8289,2022-09-07,2022,9,Sachsen
STW Schneeberg,Normalladeeinrichtung,2,44.0,Bad Schlema,8301,2020-08-21,2020,8,Sachsen
F.P.M Schönheide UG,Normalladeeinrichtung,1,11.0,Schönheide,8304,2021-05-31,2021,5,Sachsen
Wohnungsbaugesellschaft Eibenstock mbH,Normalladeeinrichtung,2,22.0,Eibenstock,8309,2019-12-02,2019,12,Sachsen
Gemeindeverwaltung Zschorlau,Normalladeeinrichtung,2,44.0,Zschorlau,8321,2019-03-22,2019,3,Sachsen
Stadtwerke Schwarzenberg GmbH,Normalladeeinrichtung,2,44.0,Schwarzenberg,8340,2021-07-14,2021,7,Sachsen
Stadtwerke Schwarzenberg GmbH,Normalladeeinrichtung,2,44.0,Schwarzenberg,8340,2022-09-01,2022,9,Sachsen
Stadtwerke Schwarzenberg GmbH,Normalladeeinrichtung,2,30.0,Schwarzenberg,8340,2022-09-01,2022,9,Sachsen
An der Sonnenscheune,Normalladeeinrichtung,1,11.0,Raschau-Markersbach,8352,2022-02-11,2022,2,Sachsen
Sportpark Rabenberg,Normalladeeinrichtung,2,22.0,Breitenbrunn,8359,2023-02-06,2023,2,Sachsen
Privatperson,Normalladeeinrichtung,1,11.0,Neukirchen,9221,2022-08-12,2022,8,Sachsen
Janet Kischkewitz Einzelunternehmen,Normalladeeinrichtung,2,22.0,Burkhardtsdorf,9235,2021-10-30,2021,10,Sachsen
Energiegenossenschaft Chemnitz Zwickau eG,Normalladeeinrichtung,2,22.0,Stollberg,9366,2021-01-01,2021,1,Sachsen
Kaufland,Schnellladeeinrichtung,3,75.0,Stollberg,9366,2022-11-14,2022,11,Sachsen
TotalEnergies,Schnellladeeinrichtung,1,175.0,Stollberg,9366,2022-12-20,2022,12,Sachsen
Andreas Pfüller - Autohaus Stollberg e.K,Normalladeeinrichtung,2,39.6,Stollberg/Erzgeb.,9366,2021-01-19,2021,1,Sachsen
Autohaus Illgen GmbH,Normalladeeinrichtung,2,39.6,Stollberg/Erzgeb.,9366,2022-01-04,2022,1,Sachsen
WGO Oelsnitz/Erzgeb.,Normalladeeinrichtung,2,22.0,Oelsnitz/Erzgebirge,9376,2022-08-24,2022,8,Sachsen
WGO Oelsnitz/Erzgeb.,Normalladeeinrichtung,2,22.0,Oelsnitz/Erzgebirge,9376,2022-12-01,2022,12,Sachsen
eins energie in sachsen GmbH & Co. KG,Normalladeeinrichtung,1,22.0,Thalheim,9380,2019-02-01,2019,2,Sachsen
envia Mitteldeutsche Energie AG,Normalladeeinrichtung,2,44.0,Lugau,9385,2019-11-13,2019,11,Sachsen
eins energie in sachsen GmbH & Co. KG,Normalladeeinrichtung,2,44.0,Zschopau,9405,2019-06-20,2019,6,Sachsen
Gemeinde Gelenau,Schnellladeeinrichtung,2,77.0,Gelenau/Erzgebirge,9423,2022-08-15,2022,8,Sachsen
Autohaus Fleischer GmbH,Normalladeeinrichtung,2,39.6,Gelenau/Erzgeb.,9423,2021-08-09,2021,8,Sachsen
SolarStromAnlagen S. Rösch,Normalladeeinrichtung,1,11.0,Drebach,9430,2022-08-21,2022,8,Sachsen
Bürger Energie Drebach eG,Normalladeeinrichtung,1,11.0,Drebach,9430,2022-07-21,2022,7,Sachsen
FLEXIVA automation & Robotik GmbH,Normalladeeinrichtung,2,44.0,Amtsberg,9439,2019-10-09,2019,10,Sachsen
eins energie in sachsen GmbH & Co. KG,Normalladeeinrichtung,2,44.0,Annaberg-Buchholz,9456,2019-04-16,2019,4,Sachsen
Comfort Charge,Schnellladeeinrichtung,3,150.0,Annaberg-Buchholz,9456,2019-07-23,2019,7,Sachsen
Bürger Energie Drebach eG,Normalladeeinrichtung,2,44.0,Sehmatal,9465,2021-04-18,2021,4,Sachsen
Stadtwerke Annaberg-Buchholz Energie AG,Normalladeeinrichtung,2,44.0,Tannenberg,9468,2022-11-21,2022,11,Sachsen
Stadtwerke Annaberg-Buchholz Energie AG,Normalladeeinrichtung,2,44.0,Jöhstadt,9477,2022-11-21,2022,11,Sachsen
Stadtwerke Annaberg-Buchholz Energie AG,Normalladeeinrichtung,2,44.0,Jöhstadt,9477,2022-11-21,2022,11,Sachsen
Stadtwerke Annaberg-Buchholz Energie AG,Normalladeeinrichtung,2,22.0,Schönfeld,9488,2022-11-07,2022,11,Sachsen
Stadtwerke Annaberg-Buchholz Energie AG,Normalladeeinrichtung,2,44.0,Thermalbad Wiesenbad,9488,2022-11-21,2022,11,Sachsen
Stadtwerke Olbernhau GmbH,Normalladeeinrichtung,2,30.0,Olbernhau,9526,2020-07-01,2020,7,Sachsen
Comfort Charge,Schnellladeeinrichtung,3,150.0,Löbau,2708,2019-07-23,2019,7,Sachsen
Pension Fadernaast,Normalladeeinrichtung,2,44.0,Kottmar OT Obercunnersdorf,2708,2020-05-15,2020,5,Sachsen
Comfort Charge,Schnellladeeinrichtung,3,150.0,Neugersdorf,2727,2019-07-23,2019,7,Sachsen
H.-J. Paul Fahrzeuge GmbH u Co,Normalladeeinrichtung,1,13.2,Neugersdorf,2727,2021-04-26,2021,4,Sachsen
SachsenEnergie AG,Schnellladeeinrichtung,2,175.0,Ebersbach-Neugersdorf,2730,2019-11-19,2019,11,Sachsen
SachsenEnergie AG,Normalladeeinrichtung,2,30.0,Herrnhut,2747,2021-10-29,2021,10,Sachsen
